id;_id;date;name;time;type;date_name;lat;lng;popularity_median;followers_sum;danceability_median;energy_median;key_mode;loudness_median;mode_mode;speechiness_median;acousticness_median;instrumentalness_median;liveness_median;valence_median;duration_ms_mean;time_signature_mode
20;5af9c7130cc9ab0004e227ff;14/5/2018 0:00;Tony Malaby Trio at Vortex Jazz Club (May 14, 2018);19:00:00;Concert;Monday;51.5487082;-0.0764992;0;21;0.473;0.4475;[10];-14.4965;[0];0.0872;0.2105;0.229;0.09565;0.3195;291495;[4]
151;5afab9c5dcab560004a0af71;16/5/2018 0:00;Joel Culpepper with Aaron Taylor and San Scout at Omeara (May 16, 2018);19:00:00;Concert;Wednesday;51.5041429;-0.094603;40;14393;0.603;0.5445;[0];-7.2645;[1];0.07195;0.281;0.0001825;0.113;0.4985;220996.4;[4]
172;5afaba02dcab560004a0afa4;17/5/2018 0:00;Premiata Forneria Marconi with Andy Tillison at O2 Academy Islington (May 17, 2018);19:00:00;Concert;Thursday;51.5345836;-0.1059202;37;32718;0.3975;0.4785;[0];-9.478;[1];0.03605;0.195;0.0794;0.1145;0.315;367274.7;[4]
199;5afaba4cdcab560004a0afe5;17/5/2018 0:00;PFM Premiata Forneria Marconi at O2 Academy 2 Islington (May 17, 2018);18:30:00;Concert;Thursday;51.5345836;-0.1059202;37;32718;0.3975;0.4785;[0];-9.478;[1];0.03605;0.195;0.0794;0.1145;0.315;367274.7;[4]
272;5afabb26dcab560004a0b099;18/5/2018 0:00;Art Department, Martin Buttrich, Nitin, Kevin Saunderson, and 2 more… at fabric (May 18, 2018);23:00:00;Concert;Friday;51.5195531;-0.1024779;33;118478;0.75;0.6985;[1];-9.764;[1];0.0532;0.007715;0.854;0.1005;0.335;431928.463;[4]
300;5afabb8ddcab560004a0b0ee;18/5/2018 0:00;Jazz Project at The Crypt (May 18, 2018);;Concert;Friday;51.4735597;-0.0871743;20;3795;0.453;0.715;[7];-8.026;[1];0.0366;0.616;0.786;0.0996;0.7465;353378.6;[4]
392;5afabd0edcab560004a0b20b;19/5/2018 0:00;iZem at Village Underground (May 19, 2018);19:00:00;Concert;Saturday;51.5237877;-0.0780335;26;2122;0.601;0.2755;[2];-15.372;[0];0.0484;0.7185;0.0377;0.0867;0.451;260624.5;[4]
759;5afaee7df4259d0004b0e619;15/4/2018 0:00;Sonny Landreth at 229 (April 15, 2018);19:30:00;Concert;Sunday;51.523464;-0.144249;42;15963;0.5655;0.7655;[2];-8.2475;[1];0.04935;0.1825;0.00117365;0.309;0.796;280472.1;[4]
898;5afaefe7f4259d0004b0e765;18/4/2018 0:00;Jordan Rakei at Ronnie Scott's (April 18, 2018);23:00:00;Concert;Wednesday;51.5134988;-0.131519;61;90512;0.6925;0.415;[0];-9.9745;[1];0.0564;0.2275;0.0003585;0.137;0.504;248856.9;[4]
917;5afaf027f4259d0004b0e798;18/4/2018 0:00;Hooverphonic at Islington Assembly Hall (April 18, 2018);19:30:00;Concert;Wednesday;51.5395158;-0.1024666;54;138419;0.5145;0.642;[4];-7.411;[0];0.03315;0.09615;0.00316;0.1285;0.373;226034.5;[4]
962;5afaf0a9f4259d0004b0e807;19/4/2018 0:00;Jordan Rakei at Ronnie Scott's (April 19, 2018);23:00:00;Concert;Thursday;51.5134988;-0.131519;61;90512;0.6925;0.415;[0];-9.9745;[1];0.0564;0.2275;0.0003585;0.137;0.504;248856.9;[4]
